시도,더불어민주당,국민의힘,정의당,기본소득당,진보당,통일한국당,녹색당,무소속,,,
서울특별시,39.23,59.05,1.21,0.28,,,,,,,
부산광역시,32.23,66.36,1.39,,,,,,,  ,  
대구광역시,17.97,78.75,2.4,0.86,,,,,,,
인천광역시,44.55,51.76,3.17,0.49,,,,,,,
광주광역시,74.91,15.9,4.71,0.74,3.71,,,,,,
대전광역시,48.8,51.19,,,,,,,,,
울산광역시,40.21,59.78,,,,,,,,,
세종특별자치시,47.16,52.83,,,,,,,,,
경기도,49.06,48.91,0.66,0.16,0.24,,,0.95,,,
강원도,45.92,54.07,,,,,,,,,
충청북도,41.8,58.19,,,,,,,,,
충청남도,46.17,53.87,,,,,,,,,
전라북도,82.11,17.88,,,,,,,,,
전라남도,75.74,18.81,,,5.44,,,,,,
경상북도,22.04,77.95,,,,,,,,,
경상남도,29.43,65.7,4.01,,,0.84,,,,,
제주특별자치도,55.14,39.48,,,,,1.94,3.42,,,
