election,office,party_id,share_pct
local_2018,municipal_head,dpk,66.81
local_2018,municipal_head,lkp,23.45
local_2018,municipal_head,other,9.73
local_2018,provincial_council,dpk,78.65
local_2018,provincial_council,lkp,16.53
local_2018,provincial_council,other,4.82
local_2018,municipal_council,dpk,55.99
local_2018,municipal_council,lkp,34.47
local_2018,municipal_council,other,9.5
local_2022,municipal_head,dpk,27.88
local_2022,municipal_head,ppp,64.16
local_2022,municipal_head,other,7.96
local_2022,provincial_council,dpk,36.72
local_2022,provincial_council,ppp,61.57
local_2022,provincial_council,other,1.71
local_2022,municipal_council,dpk,46.32
local_2022,municipal_council,ppp,48.03
local_2022,municipal_council,other,5.65
