sex,age_group,party_id,vote_share_pct,turnout_pct
male,20s,dpk,32.9,29.7
male,20s,ppp,65.1,29.7
male,30s,dpk,39.6,34.8
male,30s,ppp,58.2,34.8
male,40s,dpk,63.2,40.9
male,40s,ppp,35.1,40.9
male,50s,dpk,54,53.8
male,50s,ppp,43.9,53.8
male,60s,dpk,35.4,73.9
male,60s,ppp,63.2,73.9
male,70s,dpk,23.3,73.9
male,70s,ppp,75.1,73.9
female,20s,dpk,66.8,35.8
female,20s,ppp,30,35.8
female,30s,dpk,56,41.9
female,30s,ppp,42.2,41.9
female,40s,dpk,59.7,44.4
female,40s,ppp,38.6,44.4
female,50s,dpk,49.3,55.1
female,50s,ppp,50.1,55.1
female,60s,dpk,33.4,62.9
female,60s,ppp,65,62.9
female,70s,dpk,29.4,62.9
female,70s,ppp,69.1,62.9
