election,province_code,party_id,vote_share_pct
local_2018,11,dpk,52.79
local_2018,11,lkp,23.34
local_2018,11,bareunmirae,19.55
local_2018,11,justice,1.64
local_2018,11,minjung,0.44
local_2018,11,korean_patriots,0.22
local_2018,11,green,1.67
local_2018,11,our_future,0.23
local_2018,11,pro_park,0.08
local_2018,26,dpk,55.23
local_2018,26,lkp,37.16
local_2018,26,bareunmirae,3.96
local_2018,26,justice,2.07
local_2018,26,independent,1.56
local_2018,27,dpk,39.75
local_2018,27,lkp,53.73
local_2018,27,bareunmirae,6.5
local_2018,28,dpk,57.66
local_2018,28,lkp,35.44
local_2018,28,bareunmirae,4.06
local_2018,28,justice,2.82
local_2018,29,dpk,84.07
local_2018,29,bareunmirae,5.05
local_2018,29,justice,5.99
local_2018,29,minjung,4.87
local_2018,30,dpk,56.41
local_2018,30,lkp,32.16
local_2018,30,bareunmirae,8.78
local_2018,30,justice,2.63
local_2018,31,dpk,52.88
local_2018,31,lkp,40.07
local_2018,31,bareunmirae,2.26
local_2018,31,minjung,4.76
local_2018,36,dpk,71.3
local_2018,36,lkp,18.06
local_2018,36,bareunmirae,10.62
local_2018,41,dpk,56.4
local_2018,41,lkp,35.51
local_2018,41,bareunmirae,4.81
local_2018,41,justice,2.54
local_2018,41,minjung,0.72
local_2018,42,dpk,64.73
local_2018,42,lkp,35.26
local_2018,43,dpk,61.15
local_2018,43,lkp,29.66
local_2018,43,bareunmirae,9.17
local_2018,44,dpk,62.25
local_2018,44,lkp,35.1
local_2018,44,korea,2.33
local_2018,45,dpk,70.57
local_2018,45,lkp,2.72
local_2018,45,justice,5.43
local_2018,45,minjung,2.15
local_2018,45,pdp,19.11
local_2018,46,dpk,77.08
local_2018,46,bareunmirae,3.84
local_2018,46,justice,3.57
local_2018,46,minjung,4.9
local_2018,46,pdp,10.58
local_2018,47,dpk,34.32
local_2018,47,lkp,52.11
local_2018,47,bareunmirae,10.19
local_2018,47,justice,3.36
local_2018,48,dpk,52.81
local_2018,48,lkp,42.95
local_2018,48,bareunmirae,4.23
local_2018,50,dpk,40.01
local_2018,50,lkp,3.26
local_2018,50,bareunmirae,1.45
local_2018,50,green,3.53
local_2018,50,independent,51.72
presidential_2022,11,dpk,45.7
presidential_2022,11,ppp,50.6
presidential_2022,11,justice,2.8
presidential_2022,26,dpk,38.2
presidential_2022,26,ppp,58.3
presidential_2022,26,justice,2.2
presidential_2022,27,dpk,21.6
presidential_2022,27,ppp,75.1
presidential_2022,27,justice,1.9
presidential_2022,28,dpk,48.9
presidential_2022,28,ppp,47.1
presidential_2022,28,justice,2.8
presidential_2022,29,dpk,84.8
presidential_2022,29,ppp,12.7
presidential_2022,29,justice,1.5
presidential_2022,30,dpk,46.4
presidential_2022,30,ppp,49.6
presidential_2022,30,justice,2.7
presidential_2022,31,dpk,40.8
presidential_2022,31,ppp,54.4
presidential_2022,31,justice,2.9
presidential_2022,36,dpk,51.9
presidential_2022,36,ppp,44.1
presidential_2022,36,justice,2.9
presidential_2022,41,dpk,50.9
presidential_2022,41,ppp,45.6
presidential_2022,41,justice,2.4
presidential_2022,42,dpk,41.7
presidential_2022,42,ppp,54.2
presidential_2022,42,justice,2.5
presidential_2022,43,dpk,45.1
presidential_2022,43,ppp,50.7
presidential_2022,43,justice,2.6
presidential_2022,44,dpk,45
presidential_2022,44,ppp,51.1
presidential_2022,44,justice,2.4
presidential_2022,45,dpk,83
presidential_2022,45,ppp,14.4
presidential_2022,45,justice,1.6
presidential_2022,46,dpk,86.1
presidential_2022,46,ppp,11.4
presidential_2022,46,justice,1.3
presidential_2022,47,dpk,23.8
presidential_2022,47,ppp,72.8
presidential_2022,47,justice,1.9
presidential_2022,48,dpk,37.4
presidential_2022,48,ppp,58.2
presidential_2022,48,justice,2.5
presidential_2022,50,dpk,52.6
presidential_2022,50,ppp,42.7
presidential_2022,50,justice,3.4
local_2022,11,dpk,39.23
local_2022,11,ppp,59.05
local_2022,11,justice,1.21
local_2022,11,basic_income,0.28
local_2022,26,dpk,32.23
local_2022,26,ppp,66.36
local_2022,26,justice,1.39
local_2022,27,dpk,17.97
local_2022,27,ppp,78.75
local_2022,27,justice,2.4
local_2022,27,basic_income,0.86
local_2022,28,dpk,44.55
local_2022,28,ppp,51.76
local_2022,28,justice,3.17
local_2022,28,basic_income,0.49
local_2022,29,dpk,74.91
local_2022,29,ppp,15.9
local_2022,29,justice,4.71
local_2022,29,basic_income,0.74
local_2022,29,progressive,3.71
local_2022,30,dpk,48.8
local_2022,30,ppp,51.19
local_2022,31,dpk,40.21
local_2022,31,ppp,59.78
local_2022,36,dpk,47.16
local_2022,36,ppp,52.83
local_2022,41,dpk,49.06
local_2022,41,ppp,48.91
local_2022,41,justice,0.66
local_2022,41,basic_income,0.16
local_2022,41,progressive,0.24
local_2022,41,independent,0.95
local_2022,42,dpk,45.92
local_2022,42,ppp,54.07
local_2022,43,dpk,41.8
local_2022,43,ppp,58.19
local_2022,44,dpk,46.17
local_2022,44,ppp,53.87
local_2022,45,dpk,82.11
local_2022,45,ppp,17.88
local_2022,46,dpk,75.74
local_2022,46,ppp,18.81
local_2022,46,progressive,5.44
local_2022,47,dpk,22.04
local_2022,47,ppp,77.95
local_2022,48,dpk,29.43
local_2022,48,ppp,65.7
local_2022,48,justice,4.01
local_2022,48,unification_korea,0.84
local_2022,50,dpk,55.14
local_2022,50,ppp,39.48
local_2022,50,green,1.94
local_2022,50,independent,3.42
